name,true_hazardous,predicted_hazardous
(2022 BH9),0,0
(2023 BE4),0,0
(2021 GN1),0,0
(2014 WO69),0,0
(2025 PL1),0,0
(2025 FF18),0,0
(2024 SK3),0,0
(2015 BY512),0,1
(2025 FH1),0,0
(2017 EE3),0,0
(2025 DJ13),0,0
(2018 BR1),0,0
(2024 SY1),0,0
(2022 WY5),0,0
(2025 HQ5),0,0
(2025 QL23),0,0
(2025 QW),0,0
(2025 TC),0,0
(2024 QU1),0,0
(2015 HN9),0,0
(2020 HW7),0,0
(2016 UA41),0,0
66008 (1998 QH2),0,0
(2018 VT5),0,0
(2025 JL),0,0
(2018 EY3),0,0
(2021 VW11),0,0
(2025 CK4),0,0
(2024 QS1),0,0
(2025 KS),0,0
(2019 EO),0,0
(2023 EZ2),0,0
(2025 KU6),0,0
(2025 NS1),0,0
(2002 JX8),1,1
(2025 RZ6),0,0
(2005 KA),0,0
(2023 RZ4),0,0
(2025 FX3),0,0
(2022 UP20),0,0
(2025 JM),0,0
(2025 BO1),0,0
(2016 KC),0,0
(2024 FR4),0,0
(2025 DA7),0,0
(2025 KL11),0,0
(2012 XF133),0,0
(2020 UV),0,0
(2022 KM),0,0
(2025 SQ7),0,0
(2025 BB1),0,0
(2025 LS),0,0
(2015 YA),0,0
(2023 XZ2),0,0
(2025 RG3),0,0
(2025 EZ),0,0
(2025 PK3),0,0
(2025 BU3),0,0
(2016 JG),0,0
(2025 RT1),0,0
(2014 WS365),0,0
(2019 FN2),0,0
(2014 NL52),0,0
(2023 FL4),0,0
(2021 QL1),0,0
(2003 HT42),0,0
(2009 HU44),0,0
(2020 JF3),0,0
(2025 KR6),0,0
(2025 FD20),0,0
441987 (2010 NY65),1,0
(2023 HP7),0,0
(2025 TO),0,0
(2025 OG24),0,0
(2024 SG5),0,0
(2020 PK6),0,0
(2025 SM2),0,0
(2025 PO2),0,0
(2025 HN),0,0
(2021 EP),0,0
(2025 CZ),0,0
(2017 RY15),0,0
(2022 SJ11),0,0
(2015 OO35),0,0
(2013 YC38),0,0
(2021 NR3),0,0
(2021 AH4),0,0
(2022 VJ),0,0
(2025 PF2),0,0
(2024 GZ5),0,0
(2025 BC4),0,0
(2013 XY20),0,0
(2025 SV10),0,0
(2024 GC),0,0
(2020 HE5),0,0
(2011 DV),1,0
(2022 UX1),0,0
(2025 HC2),0,0
(2015 CR),0,0
(2022 HK4),0,0
(2025 FL16),0,0
(2018 AG4),0,0
(2019 JG1),0,0
(2025 QA10),0,0
(2024 YP9),0,0
(2025 AU1),0,0
(2025 QH1),0,0
(2025 EX),0,0
(2020 SM4),0,0
(2011 HO5),0,0
(2025 DA1),0,0
(2021 FY2),0,0
(2016 CN248),0,0
(2021 GU12),0,0
(2025 OZ3),0,0
(2025 OF1),0,0
(2024 QR1),0,0
(2018 BP1),0,0
(2025 PK),0,0
(2015 QM3),0,0
(2022 SY24),0,0
(2021 CP9),0,0
(2016 EL27),0,0
(2016 UP41),0,0
(2019 FY2),0,0
(2025 QB1),0,0
(2022 WS10),0,0
(1994 GL),0,0
(2021 TU4),0,0
(2025 NO),0,1
(2012 VK76),0,1
(2018 WX1),0,0
(2025 EA4),0,0
(2016 EJ55),0,0
(2017 VW1),0,1
(2025 OQ),0,0
(2024 LQ),0,0
(2023 TK12),0,0
(2025 MC92),0,0
(2020 GQ),0,0
(2023 HP5),0,0
(2025 DR3),0,0
(2023 QL7),1,0
(2006 TL),0,0
(2020 JN3),0,0
(2023 XX12),0,0
(2025 DW29),0,0
(2025 EO),0,0
(2019 NC1),0,1
(2024 CB1),0,0
(2021 EP),0,0
(2025 KX8),0,0
(2017 HG4),0,0
(2014 GJ35),0,0
(2025 AX2),0,0
(2024 GD2),0,0
(2021 GD5),0,0
(2025 HO4),0,0
(2010 RF42),0,0
(2020 YF),0,0
(2025 BJ1),0,0
(2025 PZ1),0,0
(2015 BL514),0,0
(2020 VK4),0,0
(2024 VD),0,0
(2002 JQ100),0,0
(2010 TK7),0,0
(2020 HY1),0,0
(2025 FD2),0,0
(2024 QH2),0,0
(2019 HA4),0,0
(2012 DZ),0,0
(2021 CG4),0,0
(2022 BC6),0,0
(2025 KR),0,0
(2025 CP),0,0
(2017 HE),0,0
(2025 MJ),0,0
(2020 OC),0,0
(2022 BR2),0,0
(2024 GT3),0,0
(2021 AN1),0,0
(2025 MD1),0,0
(2012 LR1),1,0
(2019 SN),0,0
(2025 QT),0,1
(2020 GM2),0,0
(2016 HT19),0,0
(2021 PL132),0,0
(2019 UU7),0,0
(2012 TR231),0,0
(2020 FM),0,0
(2020 TG),0,0
(2021 UY6),0,0
(2021 XC6),0,0
(2015 SZ),0,0
(2025 LB),0,0
(2025 FY1),0,0
(2019 GA),0,0
(2011 DV),1,0
(2019 LA2),0,0
(2025 QB5),0,0
(2025 QU5),0,0
(2025 PD),0,0
(2022 FA4),0,0
(2025 KB2),0,0
(2020 TS5),0,0
(2011 YG6),1,1
(2025 LR),0,0
(2023 HJ4),0,0
(2019 SW9),0,0
(2010 YO),0,0
(2024 BM1),0,0
(2021 JJ4),0,0
(2019 AS11),0,0
(2025 DH27),0,0
(2020 OQ3),0,0
(2018 WC2),0,0
(2025 HT),0,0
(2023 RG13),0,0
(2019 YA5),0,0
(2020 SB),0,0
(2025 OR5),0,0
(2022 WW2),0,0
(2013 ST19),0,0
(2025 OD13),0,1
(2011 GJ44),0,1
(2021 TZ2),0,0
(2025 OB11),0,0
837134 (2013 CQ35),0,0
(2022 UF4),0,0
(2020 UF6),0,0
(2022 WO9),0,0
(2024 RQ5),0,0
(2025 DA30),0,0
(2020 KR),0,0
(2025 PR),0,0
(2014 QZ295),0,0
(2025 ME2),0,0
(2017 VU),0,0
(2025 CF4),0,0
(2022 LA3),0,0
(2020 RS),0,0
(2025 JC1),0,0
(2018 DT),0,0
434196 (2003 HG2),1,1
(2025 JE),0,0
(2025 DU24),0,0
(2023 BA4),0,0
(2019 CH4),0,0
(2025 DS1),0,0
(2021 JL6),0,0
(2024 TL1),0,0
(2022 PJ1),0,0
(2025 DU7),0,0
(2012 VP6),0,0
(2025 GS1),0,0
(2019 SJ9),0,0
(2020 BZ11),0,0
(2014 WP362),0,0
(2022 FQ1),0,0
(2022 YS4),0,0
(2025 HD1),0,0
(2015 AW16),0,0
(2025 FL18),0,0
(2017 GO5),0,0
(2025 MS88),0,0
(2021 VH),0,0
(2025 KR2),0,0
(2017 FP101),0,0
(2022 SL11),0,0
(2025 FA8),0,0
(2022 UM28),0,0
(2014 DH),0,0
(2025 DN1),0,0
(2025 PN1),0,0
(2012 DJ54),0,0
(2025 PC3),0,0
(2025 GR1),0,0
(2025 PC),0,0
(2015 XY261),0,0
(2020 DT4),0,0
(2016 LV10),0,0
(2025 QL9),0,0
(2023 JL1),0,0
(2021 CR3),0,0
(2025 RK1),1,0
(2025 FA6),0,0
(2021 VO6),1,0
(2017 BN32),0,0
(2025 EK1),0,0
613726 (2007 EF),1,1
(2025 JD1),0,0
(2025 OM10),0,0
(2022 OP6),0,0
(2025 BN2),0,0
(2017 FZ2),0,0
(2025 MB90),0,0
(2019 AP6),1,1
(2025 OC17),0,0
(2025 FR7),0,0
(2018 UJ1),0,0
(2025 SV2),0,0
(2025 KG1),0,0
(2014 TJ33),0,0
(2016 WL48),0,0
(2025 SM1),0,0
(2022 KS),0,0
(2024 YE6),0,0
(2010 AO60),0,1
(2022 CK6),0,0
(2025 GG1),0,0
(2020 BB5),0,0
(2022 VV),0,0
(2021 QD3),0,0
(2025 BQ1),0,0
(2021 VJ),0,0
(2019 WJ),0,0
(2010 GH7),0,0
(2022 KG6),0,0
(2017 EC3),0,0
(2025 QJ10),0,0
(2017 TS3),0,0
(2025 PW1),0,0
(2025 FN14),0,0
(2025 DQ4),0,0
(2020 RY5),0,0
(2025 DE25),0,0
(2022 YJ2),0,0
(2025 BF),0,0
(2025 JC2),0,0
(2025 DM),0,0
(2015 FE345),0,0
(2025 DJ1),0,0
(2025 DK2),0,0
(2022 WF2),0,0
(2014 WU202),0,0
(2021 CM6),0,0
(2021 RO16),0,0
(2022 SA8),0,0
(2025 EV2),0,0
(2022 PJ1),0,0
(2014 QJ433),0,0
(2023 VH6),0,0
(2019 OM3),0,0
(2024 CF1),0,0
(2025 KC),0,0
(2022 UV5),0,0
(2017 UE),0,0
(2025 RE1),0,0
(2020 MN3),0,0
(2025 EC2),0,0
(2018 OQ),0,0
(2017 WF16),0,0
(2019 ET),0,0
(2011 UC64),0,0
(2025 HX),0,0
(2020 UC),0,0
(2024 TB7),0,0
837610 (2013 RE6),0,0
(2025 QU),0,0
(2010 JR34),0,0
(2019 UQ6),0,0
(2017 SS32),0,0
(2025 DX5),0,0
(2016 SC),0,0
(2022 WK9),0,0
(2015 EQ),0,0
(2017 YD),0,0
(2021 AV5),0,0
(2021 JQ),0,0
(2015 DL155),0,0
(2025 DS4),0,0
(2025 FK28),0,0
(2025 KF),0,0
(2001 QJ142),0,0
(2022 JP),0,0
(2023 VF),0,0
(2025 QF7),0,0
(2022 GO3),0,0
(2025 JP1),0,0
(2024 AP2),0,0
(2018 MG7),1,0
(2023 XH10),0,0
(2025 KJ1),0,0
(2025 SH),0,0
(2025 FV),0,0
(2016 AH164),0,0
(2025 HZ2),0,0
(2025 FV2),0,1
(2025 EQ2),0,0
(2022 OC3),0,0
(2025 QX),0,0
(2025 FY14),0,0
(2023 RY15),0,0
(2004 HQ1),0,0
(2017 SD20),0,0
(2025 MA),0,0
(2025 BY4),0,0
(2022 YS5),0,0
(2021 TK14),0,0
(2020 RB6),0,0
(2025 EP),0,0
(2021 JO6),0,0
(2010 NG1),0,0
(2025 DF4),0,0
(2025 PB1),0,0
(2015 XZ1),0,0
(1994 WR12),0,0
(2017 XA1),1,0
(2023 GE),0,0
(2021 UQ3),0,0
(2024 AW4),0,0
(2019 VZ3),0,0
(2015 NS13),0,0
(2018 JF2),0,0
(2024 FH1),0,0
(2025 KV1),0,0
(2020 QM2),0,0
(2025 NJ1),0,0
(2022 UW1),0,0
(2017 XC62),0,0
(2024 VF),0,0
(2025 DT5),0,0
(2014 AG5),0,0
(2019 FL1),0,0
(2017 YJ7),0,0
(2017 UG5),0,0
(2025 FK3),0,0
(2021 NG1),0,0
(2025 QP8),0,0
(2024 RO15),0,0
(2025 EC),0,0
(2025 JJ),0,0
(2002 VP69),1,0
(2020 RV6),0,0
(2016 BQ),0,0
(2022 SW20),0,0
(2014 QY363),0,0
(2022 QB8),0,0
(2020 RD4),0,0
(2021 ED2),0,0
(2019 ED1),0,0
(2025 OE1),0,0
468005 (2012 XD112),1,1
(2023 BJ5),0,0
(2003 MW7),0,0
(2025 OY8),0,0
(2022 PX),0,0
(2014 SD145),0,0
(2021 PR6),0,0
790064 (2018 LM4),0,0
(2023 BG),0,0
(2025 SD5),0,0
(2023 EF2),0,0
(2023 UR3),0,0
(2016 CD137),0,0
(2015 TB),0,0
(2025 HC),0,0
(2025 JX1),0,0
(2023 SX2),0,0
(2021 GU1),0,0
(2012 DV32),0,0
(2019 HQ),0,0
(2025 RH3),0,0
(2025 BY),0,0
(2017 RN16),0,0
(2025 CB1),0,0
456938 (2007 YV56),1,0
(2016 CN248),0,0
(2025 QM9),0,0
(2020 QE3),0,0
(2016 HB),0,0
(2019 CO1),0,0
(2020 LR),0,0
(2020 FS1),0,1
(2014 YW14),0,0
(2018 PD22),0,0
(2021 TO15),0,0
(2017 WS12),0,0
(2022 FV),0,0
(2025 JO),0,0
(2025 DY6),0,0
(2019 HE),0,0
(2022 SW),0,0
(2022 FF3),0,0
(2025 OC5),0,0
(2021 RX5),0,0
(2025 FO18),0,0
(2013 DB),0,0
(2016 GM135),0,0
(2025 MZ),0,0
(2015 KT120),0,0
(2020 XR1),0,0
(2025 FR6),0,0
247517 (2002 QY6),0,0
(2015 MT59),0,0
(2024 GR),0,0
(2020 OG3),0,0
(2025 MR92),0,0
(2018 VP5),0,0
(2025 HR4),0,0
(2025 HP23),0,0
(2022 UY),0,0
(2024 UK5),0,0
(2025 OR2),0,0
(2025 CF1),0,0
(2022 SU7),0,0
(2017 SS10),0,0
(2015 VR1),0,0
(2025 QF4),0,0
(2024 TU20),0,0
(2025 OR4),0,0
(2024 TK21),0,0
