date,id,name,diameter_min_km,diameter_max_km,is_potentially_hazardous,close_approach_date,miss_distance_km,relative_velocity_kph
2025-01-07,2226514,226514 (2003 UX34),0.2469192656,0.5521282628,True,2025-01-07,18491518.45292493,59576.3776591664
2025-01-07,2438017,438017 (2003 YO3),0.5206609142,1.1642331974,False,2025-01-07,12136326.303555183,54996.3055018069
2025-01-07,2481442,481442 (2006 WO3),0.1283970296,0.2871044863,False,2025-01-07,58239736.59965244,77935.954023887
2025-01-07,3485806,(2010 AL60),0.0925880583,0.2070331923,False,2025-01-07,9414482.23419549,32361.4464638662
2025-01-07,3723888,(2015 NU2),0.1748054532,0.3908768761,True,2025-01-07,73466998.51753892,68881.0703726326
2025-01-07,3771633,(2017 FZ2),0.0127219879,0.0284472297,False,2025-01-07,43675472.560049035,27485.3820705561
2025-01-07,3792462,(2017 YD),0.0211132445,0.0472106499,False,2025-01-07,10536583.499046208,17691.4977576082
2025-01-07,3837883,(2019 AO12),0.0201629919,0.0450858206,False,2025-01-07,72072116.41250834,87401.5535619302
2025-01-07,3842657,(2019 KJ4),0.0088014652,0.0196806745,False,2025-01-07,49392413.894222796,34290.1468082932
2025-01-07,54340445,(2023 BO8),0.0123752784,0.0276719637,False,2025-01-07,44602775.42223265,53853.5529937037
2025-01-07,54509167,(2024 YH4),0.0825191939,0.1845185269,False,2025-01-07,13066136.72523574,81074.5189633472
2025-01-07,54509629,(2024 YZ4),0.1198270801,0.2679414966,False,2025-01-07,19239009.477460172,99517.3868228753
2025-01-07,54512615,(2024 YZ9),0.0245784775,0.0549591464,False,2025-01-07,3623223.789841424,30744.1100218168
2025-01-07,54513036,(2024 YW12),0.0506471459,0.1132504611,False,2025-01-07,14880072.12939393,49077.7685452444
2025-01-07,54516186,(2025 BM),0.0589596608,0.1318378096,False,2025-01-07,14064893.080212332,38029.8503488187
2025-01-06,3704144,(2015 AC246),0.0555334912,0.1241766613,False,2025-01-06,52820770.79549223,21823.557432531
2025-01-06,3781585,(2017 SK2),0.0608912622,0.1361570015,False,2025-01-06,66024505.62198272,19273.0559039038
2025-01-06,3785681,(2017 TU1),0.0152951935,0.0342010925,False,2025-01-06,67762561.05205293,53321.9785063697
2025-01-06,3843671,(2019 QY4),0.0080270317,0.0179489885,False,2025-01-06,52117749.5629085,65537.9276345136
2025-01-06,3989263,(2020 BP11),0.0116025908,0.0259441818,False,2025-01-06,35406461.06684568,56764.4031185162
2025-01-06,54269715,(2022 GE3),0.06259721,0.1399716167,False,2025-01-06,24683064.190800205,28658.5459814199
2025-01-06,54293876,(2020 AQ24),0.0268259417,0.0599846292,False,2025-01-06,48896961.18728298,71526.2723131313
2025-01-06,54503221,(2024 XR4),0.065246163,0.1458948557,False,2025-01-06,23945440.731528886,26087.5439547047
2025-01-06,54509100,(2024 YW3),0.0256185754,0.0572848762,False,2025-01-06,2156544.131876664,44134.7811412716
2025-01-06,54514247,(2024 YY21),0.0112345318,0.0251211767,False,2025-01-06,5560416.813516596,18817.9782385518
2025-01-06,54516849,(2025 BC2),0.0333084924,0.0744800533,False,2025-01-06,4950988.227064801,61572.185102889
2025-01-05,3740934,(2016 BD15),0.1529519353,0.3420109247,True,2025-01-05,71450808.49855644,93383.3700688104
2025-01-05,3753595,(2016 KO),0.0133215567,0.0297879063,False,2025-01-05,63031190.87562886,55311.8444706586
2025-01-05,3989144,(2020 BC6),0.1797028549,0.4018277992,True,2025-01-05,3683381.686023033,79858.6540488112
2025-01-05,54016969,(2020 JR),0.0253837029,0.0567596853,False,2025-01-05,47817840.01879432,61716.286232802
2025-01-05,54091635,(2020 WR1),0.0342416731,0.0765667087,False,2025-01-05,71002234.961983,82488.4967996921
2025-01-05,54186208,(2021 PB23),0.0203495578,0.0455029946,False,2025-01-05,72030480.99156058,27835.9338165981
2025-01-05,54509098,(2024 YT3),0.0133830462,0.029925401,False,2025-01-05,4148544.30991822,25448.8592654784
2025-01-05,54514251,(2025 AJ1),0.0523064176,0.1169607054,False,2025-01-05,23538786.747137707,40638.657120354
2025-01-05,54514895,(2025 AY1),0.0614546821,0.1374168468,False,2025-01-05,13787514.424296966,60183.924792174
2025-01-05,54515312,(2025 AG3),0.0057883526,0.0129431498,False,2025-01-05,2096621.912179453,26840.819298518
2025-01-05,54517641,(2025 BQ5),0.0308003021,0.0688715693,False,2025-01-05,6758138.904065095,32864.4629265629
2025-01-04,3879137,(2019 TK6),0.0788052183,0.1762138252,False,2025-01-04,40607718.03326146,37661.9172929179
2025-01-04,54054327,(2020 RV6),0.0291443905,0.0651688382,False,2025-01-04,58565088.34539876,48479.6772715723
2025-01-04,54105109,(2021 AO4),0.0078805218,0.0176213825,False,2025-01-04,2640732.672717599,54418.6532916137
2025-01-04,54209222,(2021 TK13),0.022108281,0.0494356193,False,2025-01-04,21922798.601292673,15135.0551150266
2025-01-04,54415867,(2023 XU7),0.0277047973,0.06194981,False,2025-01-04,49287093.762428805,51508.4016463614
2025-01-04,54508752,(2024 YU1),0.0239086457,0.0534613571,False,2025-01-04,2248832.194823476,26317.184843843
2025-01-04,54511083,(2024 YL7),0.0222103282,0.0496638037,False,2025-01-04,4873440.221766533,26145.9920869276
2025-01-04,54512613,(2024 YX9),0.011286388,0.0252371308,False,2025-01-04,2195623.733054634,40341.0525631866
